Name,Unique ID,Indicator ID,Measure,Measure Info,Geo Join ID,Geo Type Name,Geo Place Name,Time Period,Start_Date,Data Value,Message
Respiratory hospitalizations due to PM2.5 (age 20+),518807,650,Estimated annual rate,"per 100,000 adults",209,UHF42,Bensonhurst - Bay Ridge,2012-2014,01/02/2012,8.86,
Respiratory hospitalizations due to PM2.5 (age 20+),628548,650,Estimated annual rate,"per 100,000 adults",209,UHF42,Bensonhurst - Bay Ridge,2015-2017,01/01/2015,8.9,
Respiratory hospitalizations due to PM2.5 (age 20+),131531,650,Estimated annual rate,"per 100,000 adults",307,UHF42,Gramercy Park - Murray Hill,2009-2011,01/01/2009,8.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131521,650,Estimated annual rate,"per 100,000 adults",208,UHF42,Canarsie - Flatlands,2009-2011,01/01/2009,12.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131520,650,Estimated annual rate,"per 100,000 adults",207,UHF42,East Flatbush - Flatbush,2009-2011,01/01/2009,10.5,
Respiratory hospitalizations due to PM2.5 (age 20+),130908,650,Estimated annual rate,"per 100,000 adults",308,UHF42,Greenwich Village - SoHo,2005-2007,01/01/2005,5.9,
Respiratory hospitalizations due to PM2.5 (age 20+),130897,650,Estimated annual rate,"per 100,000 adults",208,UHF42,Canarsie - Flatlands,2005-2007,01/01/2005,15.5,
Respiratory hospitalizations due to PM2.5 (age 20+),518798,650,Estimated annual rate,"per 100,000 adults",107,UHF42,Hunts Point - Mott Haven,2012-2014,01/02/2012,25.51,
Respiratory hospitalizations due to PM2.5 (age 20+),628539,650,Estimated annual rate,"per 100,000 adults",107,UHF42,Hunts Point - Mott Haven,2015-2017,01/01/2015,26.5,
Respiratory hospitalizations due to PM2.5 (age 20+),130902,650,Estimated annual rate,"per 100,000 adults",302,UHF42,Central Harlem - Morningside Heights,2005-2007,01/01/2005,30.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131530,650,Estimated annual rate,"per 100,000 adults",306,UHF42,Chelsea - Clinton,2009-2011,01/01/2009,9,
Respiratory hospitalizations due to PM2.5 (age 20+),131526,650,Estimated annual rate,"per 100,000 adults",302,UHF42,Central Harlem - Morningside Heights,2009-2011,01/01/2009,18.8,
Respiratory hospitalizations due to PM2.5 (age 20+),518793,650,Estimated annual rate,"per 100,000 adults",102,UHF42,Northeast Bronx,2012-2014,01/02/2012,14.24,
Respiratory hospitalizations due to PM2.5 (age 20+),628540,650,Estimated annual rate,"per 100,000 adults",201,UHF42,Greenpoint,2015-2017,01/01/2015,6.6,
Respiratory hospitalizations due to PM2.5 (age 20+),628551,650,Estimated annual rate,"per 100,000 adults",301,UHF42,Washington Heights,2015-2017,01/01/2015,10.3,
Respiratory hospitalizations due to PM2.5 (age 20+),518792,650,Estimated annual rate,"per 100,000 adults",101,UHF42,Kingsbridge - Riverdale,2012-2014,01/02/2012,13.83,
Respiratory hospitalizations due to PM2.5 (age 20+),628533,650,Estimated annual rate,"per 100,000 adults",101,UHF42,Kingsbridge - Riverdale,2015-2017,01/01/2015,14.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130912,650,Estimated annual rate,"per 100,000 adults",402,UHF42,West Queens,2005-2007,01/01/2005,12.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130901,650,Estimated annual rate,"per 100,000 adults",301,UHF42,Washington Heights,2005-2007,01/01/2005,20.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130898,650,Estimated annual rate,"per 100,000 adults",209,UHF42,Bensonhurst - Bay Ridge,2005-2007,01/01/2005,16.6,
Respiratory hospitalizations due to PM2.5 (age 20+),130905,650,Estimated annual rate,"per 100,000 adults",305,UHF42,Upper East Side,2005-2007,01/01/2005,11.1,
Respiratory hospitalizations due to PM2.5 (age 20+),130894,650,Estimated annual rate,"per 100,000 adults",205,UHF42,Sunset Park,2005-2007,01/01/2005,17.2,
Respiratory hospitalizations due to PM2.5 (age 20+),130892,650,Estimated annual rate,"per 100,000 adults",203,UHF42,Bedford Stuyvesant - Crown Heights,2005-2007,01/01/2005,24.2,
Respiratory hospitalizations due to PM2.5 (age 20+),130896,650,Estimated annual rate,"per 100,000 adults",207,UHF42,East Flatbush - Flatbush,2005-2007,01/01/2005,13.3,
Respiratory hospitalizations due to PM2.5 (age 20+),130906,650,Estimated annual rate,"per 100,000 adults",306,UHF42,Chelsea - Clinton,2005-2007,01/01/2005,13.5,
Respiratory hospitalizations due to PM2.5 (age 20+),131507,650,Estimated annual rate,"per 100,000 adults",101,UHF42,Kingsbridge - Riverdale,2009-2011,01/01/2009,18.6,
Respiratory hospitalizations due to PM2.5 (age 20+),131549,650,Estimated annual rate,"per 100,000 adults",1,Citywide,New York City,2009-2011,01/01/2009,14.1,
Respiratory hospitalizations due to PM2.5 (age 20+),628575,650,Estimated annual rate,"per 100,000 adults",1,Citywide,New York City,2015-2017,01/01/2015,11.8,
Respiratory hospitalizations due to PM2.5 (age 20+),518834,650,Estimated annual rate,"per 100,000 adults",1,Citywide,New York City,2012-2014,01/02/2012,11.7,
Respiratory hospitalizations due to PM2.5 (age 20+),130925,650,Estimated annual rate,"per 100,000 adults",1,Citywide,New York City,2005-2007,01/01/2005,19.8,
Respiratory hospitalizations due to PM2.5 (age 20+),130883,650,Estimated annual rate,"per 100,000 adults",101,UHF42,Kingsbridge - Riverdale,2005-2007,01/01/2005,28.5,
